Email,Label
URGENT: Your Bank of America account has been locked due to suspicious activity!,Spam
"Claim your inherited 10,000 USD from a distant relative in Africa",Spam
"Final notice: Pay your tax debt of $50,000 immediately to avoid jail time",Spam
"Claim your $50,000 Netflix Gift Card now, click the link below",Spam
"Sarah called, they want you to call back as soon as possible",Ham
"Your Facebook invoice #98765 is overdue. Pay $50,000 immediately to avoid fees.",Spam
Draft contract for the new vendor is attached. Please review by Tuesday.,Ham
Security Alert: Please verify your Facebook credentials immediately,Spam
Can we push the deadline for the marketing report to next Monday?,Ham
Buy cheap followers and likes for your Instagram and TikTok,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
Can we push the deadline for the software update to next Wednesday?,Ham
Don't forget to submit your weekly timesheet by Friday 5 PM,Ham
LIMITED TIME OFFER: 90% off all MacBook Pros! Buy now!,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
Claim your inherited $500 from a distant relative in Africa,Spam
Notes from the Q3 budget meeting have been uploaded,Ham
"Hey John, are we still on for lunch Wednesday at the usual spot?",Ham
You have been selected for a free MacBook Pro. Claim now!,Spam
Thanks for the great presentation today on marketing report! The clients loved it.,Ham
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
"Emma called, they want you to call back as soon as possible",Ham
"I will be out of office until Thursday. For urgent matters, contact David.",Ham
Monthly Q3 budget attached for your review and approval,Ham
"Let's reschedule our call to 3 PM Thursday, I have a conflict right now",Ham
Increase your stamina and performance tonight! Special discount.,Spam
You have been selected for a free Rolex watch. Claim now!,Spam
Attached is the invoice for the design feedback consulting services.,Ham
"Final notice: Pay your tax debt of $50,000 immediately to avoid jail time",Spam
Can you review this pull request when you have some free time Wednesday?,Ham
You are the 1000th visitor! Click here to claim your Tesla.,Spam
Security Alert: Please verify your PayPal credentials immediately,Spam
"Claim your inherited $1,000,000 from a distant relative in Africa",Spam
Monthly sales strategy attached for your review and approval,Ham
Your PayPal invoice #98765 is overdue. Pay 50 Bitcoin immediately to avoid fees.,Spam
Your Apple invoice #98765 is overdue. Pay 50 Bitcoin immediately to avoid fees.,Spam
Final notice: Pay your tax debt of $500 immediately to avoid jail time,Spam
Increase your stamina and performance tonight! Special discount.,Spam
"I will be out of office until Tuesday. For urgent matters, contact John.",Ham
Get rich quick with this secret crypto investment strategy,Spam
Receipt for your recent Uber ride on Monday,Ham
Buy cheap followers and likes for your Instagram and TikTok,Spam
Your flight reservation to New York for this weekend is confirmed.,Ham
Your Netflix invoice #98765 is overdue. Pay 50 Bitcoin immediately to avoid fees.,Spam
Can we push the deadline for the Q3 budget to next Wednesday?,Ham
Receipt for your recent Uber ride on Friday,Ham
"Hey Emma, are we still on for lunch Tuesday at the usual spot?",Ham
LIMITED TIME OFFER: 90% off all Teslas! Buy now!,Spam
Monthly sales strategy attached for your review and approval,Ham
Increase your stamina and performance tonight! Special discount.,Spam
Your Bank of America invoice #98765 is overdue. Pay $500 immediately to avoid fees.,Spam
Your Amazon invoice #98765 is overdue. Pay $100 immediately to avoid fees.,Spam
Your PayPal package has been delivered to your front porch,Ham
URGENT: Your Netflix account has been locked due to suspicious activity!,Spam
Meeting agenda for Thursday's team sync regarding marketing report,Ham
Are you free Friday for a quick coffee and catch up?,Ham
Double your Bitcoin in 24 hours guaranteed or your money back,Spam
Can you review this pull request when you have some free time Wednesday?,Ham
Draft contract for the new vendor is attached. Please review by Wednesday.,Ham
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
LIMITED TIME OFFER: 90% off all Teslas! Buy now!,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
You have been selected for a free MacBook Pro. Claim now!,Spam
Happy Birthday Sarah! Wishing you a great day and a fantastic year ahead,Ham
Attached is the invoice for the sales strategy consulting services.,Ham
Invitation: Product Launch Event next Wednesday at the main hall,Ham
Are you free Monday for a quick coffee and catch up?,Ham
Are you free Thursday for a quick coffee and catch up?,Ham
"I will be out of office until Tuesday. For urgent matters, contact John.",Ham
Earn $1000 a day working from home doing absolutely nothing!,Spam
LIMITED TIME OFFER: 90% off all MacBook Pros! Buy now!,Spam
Are you free Tuesday for a quick coffee and catch up?,Ham
You are the 1000th visitor! Click here to claim your Tesla.,Spam
Update on the marketing report schedule for Q3,Ham
Can we push the deadline for the sales strategy to next Wednesday?,Ham
Update on the marketing report schedule for Q3,Ham
Can we push the deadline for the sales strategy to next Tuesday?,Ham
Your PayPal package has been delivered to your front porch,Ham
Your flight reservation to New York for Wednesday is confirmed.,Ham
Monthly software update attached for your review and approval,Ham
Notes from the marketing report meeting have been uploaded,Ham
You are the 1000th visitor! Click here to claim your Luxury Vacation.,Spam
Thanks for the great presentation today on Q3 budget! The clients loved it.,Ham
Attached is the invoice for the sales strategy consulting services.,Ham
LIMITED TIME OFFER: 90% off all MacBook Pros! Buy now!,Spam
Get rich quick with this secret crypto investment strategy,Spam
Notes from the design feedback meeting have been uploaded,Ham
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
URGENT: Your Google account has been locked due to suspicious activity!,Spam
Your Bank of America invoice #98765 is overdue. Pay $500 immediately to avoid fees.,Spam
"Claim your $1000 Facebook Gift Card now, click the link below",Spam
Thanks for the great presentation today on software update! The clients loved it.,Ham
Are you free Tuesday for a quick coffee and catch up?,Ham
Increase your stamina and performance tonight! Special discount.,Spam
Your flight reservation to New York for Thursday is confirmed.,Ham
Are you free Friday for a quick coffee and catch up?,Ham
Your PayPal package has been delivered to your front porch,Ham
Get rich quick with this secret crypto investment strategy,Spam
Security Alert: Please verify your Netflix credentials immediately,Spam
You have been selected for a free MacBook Pro. Claim now!,Spam
Meeting agenda for Thursday's team sync regarding Q3 budget,Ham
Update on the design feedback schedule for Q3,Ham
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
You are the 1000th visitor! Click here to claim your Luxury Vacation.,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
"Your Facebook invoice #98765 is overdue. Pay 10,000 USD immediately to avoid fees.",Spam
"Let's reschedule our call to 3 PM Monday, I have a conflict right now",Ham
Invitation: Product Launch Event next Thursday at the main hall,Ham
You are the 1000th visitor! Click here to claim your Luxury Vacation.,Spam
Monthly sales strategy attached for your review and approval,Ham
Monthly marketing report attached for your review and approval,Ham
"I will be out of office until this weekend. For urgent matters, contact Alice.",Ham
Buy cheap followers and likes for your Instagram and TikTok,Spam
"Claim your inherited $1,000,000 from a distant relative in Africa",Spam
LIMITED TIME OFFER: 90% off all iPhone 15 Pros! Buy now!,Spam
Get rich quick with this secret crypto investment strategy,Spam
You are the 1000th visitor! Click here to claim your iPhone 15 Pro.,Spam
Your flight reservation to New York for Thursday is confirmed.,Ham
Draft contract for the new vendor is attached. Please review by this weekend.,Ham
Can you review this pull request when you have some free time Monday?,Ham
Notes from the Q3 budget meeting have been uploaded,Ham
"Claim your $1000 Facebook Gift Card now, click the link below",Spam
"Earn $50,000 a day working from home doing absolutely nothing!",Spam
Notes from the sales strategy meeting have been uploaded,Ham
"Hey David, are we still on for lunch Wednesday at the usual spot?",Ham
"Final notice: Pay your tax debt of 10,000 USD immediately to avoid jail time",Spam
Invitation: Product Launch Event next this weekend at the main hall,Ham
Notes from the Q3 budget meeting have been uploaded,Ham
Claim your inherited 50 Bitcoin from a distant relative in Africa,Spam
"Earn $1,000,000 a day working from home doing absolutely nothing!",Spam
"I will be out of office until this weekend. For urgent matters, contact Emma.",Ham
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
"Claim your $1,000,000 Facebook Gift Card now, click the link below",Spam
Notes from the Q3 budget meeting have been uploaded,Ham
"Claim your $100 PayPal Gift Card now, click the link below",Spam
"Claim your inherited $50,000 from a distant relative in Africa",Spam
"Claim your $1000 Amazon Gift Card now, click the link below",Spam
Happy Birthday Alice! Wishing you a great day and a fantastic year ahead,Ham
Get rich quick with this secret crypto investment strategy,Spam
Final notice: Pay your tax debt of 50 Bitcoin immediately to avoid jail time,Spam
Your flight reservation to New York for Friday is confirmed.,Ham
Don't forget to submit your weekly timesheet by Friday 5 PM,Ham
Buy cheap followers and likes for your Instagram and TikTok,Spam
Meeting agenda for Wednesday's team sync regarding marketing report,Ham
"Your Netflix invoice #98765 is overdue. Pay 10,000 USD immediately to avoid fees.",Spam
Earn 50 Bitcoin a day working from home doing absolutely nothing!,Spam
Happy Birthday Mike! Wishing you a great day and a fantastic year ahead,Ham
Double your Bitcoin in 24 hours guaranteed or your money back,Spam
Final notice: Pay your tax debt of $1000 immediately to avoid jail time,Spam
Security Alert: Please verify your Facebook credentials immediately,Spam
Get rich quick with this secret crypto investment strategy,Spam
Can we push the deadline for the design feedback to next Monday?,Ham
Increase your stamina and performance tonight! Special discount.,Spam
URGENT: Your Netflix account has been locked due to suspicious activity!,Spam
"your boss called, they want you to call back as soon as possible",Ham
Get rich quick with this secret crypto investment strategy,Spam
Monthly marketing report attached for your review and approval,Ham
Meeting agenda for Wednesday's team sync regarding Q3 budget,Ham
Can you review this pull request when you have some free time Wednesday?,Ham
Happy Birthday Mike! Wishing you a great day and a fantastic year ahead,Ham
"Claim your inherited $50,000 from a distant relative in Africa",Spam
You have been selected for a free iPhone 15 Pro. Claim now!,Spam
Your Netflix package has been delivered to your front porch,Ham
LIMITED TIME OFFER: 90% off all Teslas! Buy now!,Spam
Can you review this pull request when you have some free time Tuesday?,Ham
"Final notice: Pay your tax debt of 10,000 USD immediately to avoid jail time",Spam
"Claim your $500 PayPal Gift Card now, click the link below",Spam
"Your Facebook invoice #98765 is overdue. Pay 10,000 USD immediately to avoid fees.",Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
Your PayPal package has been delivered to your front porch,Ham
Can we push the deadline for the design feedback to next Monday?,Ham
Double your Bitcoin in 24 hours guaranteed or your money back,Spam
Attached is the invoice for the design feedback consulting services.,Ham
Security Alert: Please verify your PayPal credentials immediately,Spam
You have been selected for a free Tesla. Claim now!,Spam
Final notice: Pay your tax debt of 50 Bitcoin immediately to avoid jail time,Spam
Are you free Tuesday for a quick coffee and catch up?,Ham
"I will be out of office until Thursday. For urgent matters, contact your boss.",Ham
Thanks for the great presentation today on marketing report! The clients loved it.,Ham
Increase your stamina and performance tonight! Special discount.,Spam
Your Facebook package has been delivered to your front porch,Ham
Draft contract for the new vendor is attached. Please review by Monday.,Ham
Can you review this pull request when you have some free time this weekend?,Ham
Can you review this pull request when you have some free time Tuesday?,Ham
Your flight reservation to New York for Thursday is confirmed.,Ham
"I will be out of office until this weekend. For urgent matters, contact John.",Ham
"Your PayPal invoice #98765 is overdue. Pay 10,000 USD immediately to avoid fees.",Spam
"Emma called, they want you to call back as soon as possible",Ham
Earn $1000 a day working from home doing absolutely nothing!,Spam
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
You are the 1000th visitor! Click here to claim your MacBook Pro.,Spam
Notes from the design feedback meeting have been uploaded,Ham
"Earn $1,000,000 a day working from home doing absolutely nothing!",Spam
Notes from the sales strategy meeting have been uploaded,Ham
Increase your stamina and performance tonight! Special discount.,Spam
"I will be out of office until this weekend. For urgent matters, contact Alice.",Ham
"Your Netflix invoice #98765 is overdue. Pay $1,000,000 immediately to avoid fees.",Spam
Draft contract for the new vendor is attached. Please review by Monday.,Ham
Can you review this pull request when you have some free time this weekend?,Ham
Update on the sales strategy schedule for Q3,Ham
Buy cheap followers and likes for your Instagram and TikTok,Spam
Double your Bitcoin in 24 hours guaranteed or your money back,Spam
Security Alert: Please verify your Bank of America credentials immediately,Spam
"Claim your $50,000 Netflix Gift Card now, click the link below",Spam
Meeting agenda for Monday's team sync regarding marketing report,Ham
URGENT: Your Amazon account has been locked due to suspicious activity!,Spam
Your flight reservation to New York for Monday is confirmed.,Ham
Increase your stamina and performance tonight! Special discount.,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
Can you review this pull request when you have some free time Tuesday?,Ham
LIMITED TIME OFFER: 90% off all Luxury Vacations! Buy now!,Spam
Are you free Thursday for a quick coffee and catch up?,Ham
"John called, they want you to call back as soon as possible",Ham
Increase your stamina and performance tonight! Special discount.,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
Increase your stamina and performance tonight! Special discount.,Spam
Monthly software update attached for your review and approval,Ham
Happy Birthday David! Wishing you a great day and a fantastic year ahead,Ham
Can we push the deadline for the marketing report to next Tuesday?,Ham
"Let's reschedule our call to 3 PM this weekend, I have a conflict right now",Ham
Invitation: Product Launch Event next Tuesday at the main hall,Ham
Can we push the deadline for the software update to next this weekend?,Ham
Buy cheap followers and likes for your Instagram and TikTok,Spam
Can we push the deadline for the marketing report to next Monday?,Ham
Your Netflix invoice #98765 is overdue. Pay $100 immediately to avoid fees.,Spam
Thanks for the great presentation today on sales strategy! The clients loved it.,Ham
Don't forget to submit your weekly timesheet by Thursday 5 PM,Ham
LIMITED TIME OFFER: 90% off all iPhone 15 Pros! Buy now!,Spam
Can we push the deadline for the sales strategy to next Wednesday?,Ham
You have been selected for a free iPhone 15 Pro. Claim now!,Spam
Final notice: Pay your tax debt of 50 Bitcoin immediately to avoid jail time,Spam
"Let's reschedule our call to 3 PM Wednesday, I have a conflict right now",Ham
You are the 1000th visitor! Click here to claim your iPhone 15 Pro.,Spam
Final notice: Pay your tax debt of 50 Bitcoin immediately to avoid jail time,Spam
Your Amazon package has been delivered to your front porch,Ham
Can we push the deadline for the sales strategy to next Monday?,Ham
LIMITED TIME OFFER: 90% off all iPhone 15 Pros! Buy now!,Spam
URGENT: Your Google account has been locked due to suspicious activity!,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
Monthly software update attached for your review and approval,Ham
"Sarah called, they want you to call back as soon as possible",Ham
Notes from the sales strategy meeting have been uploaded,Ham
Are you free Thursday for a quick coffee and catch up?,Ham
Increase your stamina and performance tonight! Special discount.,Spam
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
Your Netflix package has been delivered to your front porch,Ham
You have been selected for a free Luxury Vacation. Claim now!,Spam
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
Claim your inherited $1000 from a distant relative in Africa,Spam
Can we push the deadline for the design feedback to next Friday?,Ham
Your Bank of America invoice #98765 is overdue. Pay $500 immediately to avoid fees.,Spam
Security Alert: Please verify your Bank of America credentials immediately,Spam
Can we push the deadline for the design feedback to next Monday?,Ham
URGENT: Your PayPal account has been locked due to suspicious activity!,Spam
Thanks for the great presentation today on marketing report! The clients loved it.,Ham
Invitation: Product Launch Event next Thursday at the main hall,Ham
Notes from the design feedback meeting have been uploaded,Ham
"Claim your inherited $50,000 from a distant relative in Africa",Spam
"Alice called, they want you to call back as soon as possible",Ham
Can you review this pull request when you have some free time this weekend?,Ham
"Final notice: Pay your tax debt of $1,000,000 immediately to avoid jail time",Spam
You have been selected for a free Rolex watch. Claim now!,Spam
Get rich quick with this secret crypto investment strategy,Spam
Security Alert: Please verify your PayPal credentials immediately,Spam
"Final notice: Pay your tax debt of $1,000,000 immediately to avoid jail time",Spam
You are the 1000th visitor! Click here to claim your MacBook Pro.,Spam
Thanks for the great presentation today on software update! The clients loved it.,Ham
"Let's reschedule our call to 3 PM Friday, I have a conflict right now",Ham
Draft contract for the new vendor is attached. Please review by this weekend.,Ham
"Your Google invoice #98765 is overdue. Pay $1,000,000 immediately to avoid fees.",Spam
LIMITED TIME OFFER: 90% off all Teslas! Buy now!,Spam
Final notice: Pay your tax debt of 50 Bitcoin immediately to avoid jail time,Spam
Attached is the invoice for the marketing report consulting services.,Ham
Your Netflix package has been delivered to your front porch,Ham
Don't forget to submit your weekly timesheet by Friday 5 PM,Ham
Thanks for the great presentation today on sales strategy! The clients loved it.,Ham
Meeting agenda for Friday's team sync regarding software update,Ham
Receipt for your recent Uber ride on Friday,Ham
Can we push the deadline for the software update to next Thursday?,Ham
You have been selected for a free Rolex watch. Claim now!,Spam
Get rich quick with this secret crypto investment strategy,Spam
Your Amazon package has been delivered to your front porch,Ham
Get rich quick with this secret crypto investment strategy,Spam
Increase your stamina and performance tonight! Special discount.,Spam
Happy Birthday Mike! Wishing you a great day and a fantastic year ahead,Ham
"Final notice: Pay your tax debt of $1,000,000 immediately to avoid jail time",Spam
Monthly design feedback attached for your review and approval,Ham
Earn 50 Bitcoin a day working from home doing absolutely nothing!,Spam
Monthly design feedback attached for your review and approval,Ham
Notes from the design feedback meeting have been uploaded,Ham
Double your Bitcoin in 24 hours guaranteed or your money back,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
"Let's reschedule our call to 3 PM Monday, I have a conflict right now",Ham
Security Alert: Please verify your Apple credentials immediately,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
"Final notice: Pay your tax debt of $1,000,000 immediately to avoid jail time",Spam
Are you free this weekend for a quick coffee and catch up?,Ham
Claim your inherited $100 from a distant relative in Africa,Spam
Can you review this pull request when you have some free time this weekend?,Ham
Get rich quick with this secret crypto investment strategy,Spam
Are you free Wednesday for a quick coffee and catch up?,Ham
Are you free Tuesday for a quick coffee and catch up?,Ham
"Hey Alice, are we still on for lunch Thursday at the usual spot?",Ham
Draft contract for the new vendor is attached. Please review by Tuesday.,Ham
"I will be out of office until Wednesday. For urgent matters, contact John.",Ham
Increase your stamina and performance tonight! Special discount.,Spam
Your flight reservation to New York for Thursday is confirmed.,Ham
Get rich quick with this secret crypto investment strategy,Spam
Your Amazon package has been delivered to your front porch,Ham
Get rich quick with this secret crypto investment strategy,Spam
"Final notice: Pay your tax debt of $1,000,000 immediately to avoid jail time",Spam
Invitation: Product Launch Event next this weekend at the main hall,Ham
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
You are the 1000th visitor! Click here to claim your Tesla.,Spam
"Hey Mike, are we still on for lunch Wednesday at the usual spot?",Ham
Meeting agenda for Wednesday's team sync regarding design feedback,Ham
Attached is the invoice for the Q3 budget consulting services.,Ham
Increase your stamina and performance tonight! Special discount.,Spam
"Claim your $100 Facebook Gift Card now, click the link below",Spam
Get rich quick with this secret crypto investment strategy,Spam
Don't forget to submit your weekly timesheet by Tuesday 5 PM,Ham
Get rich quick with this secret crypto investment strategy,Spam
URGENT: Your Facebook account has been locked due to suspicious activity!,Spam
Meeting agenda for Friday's team sync regarding marketing report,Ham
Double your Bitcoin in 24 hours guaranteed or your money back,Spam
Your Bank of America package has been delivered to your front porch,Ham
You are the 1000th visitor! Click here to claim your iPhone 15 Pro.,Spam
Receipt for your recent Uber ride on Monday,Ham
"your boss called, they want you to call back as soon as possible",Ham
Invitation: Product Launch Event next Wednesday at the main hall,Ham
Final notice: Pay your tax debt of $1000 immediately to avoid jail time,Spam
Double your Bitcoin in 24 hours guaranteed or your money back,Spam
Increase your stamina and performance tonight! Special discount.,Spam
Can you review this pull request when you have some free time this weekend?,Ham
"Your PayPal invoice #98765 is overdue. Pay $50,000 immediately to avoid fees.",Spam
Notes from the marketing report meeting have been uploaded,Ham
"Claim your 10,000 USD Google Gift Card now, click the link below",Spam
"Your Amazon invoice #98765 is overdue. Pay $50,000 immediately to avoid fees.",Spam
Can we push the deadline for the software update to next Tuesday?,Ham
Attached is the invoice for the marketing report consulting services.,Ham
Your Netflix invoice #98765 is overdue. Pay $100 immediately to avoid fees.,Spam
Final notice: Pay your tax debt of $100 immediately to avoid jail time,Spam
Happy Birthday John! Wishing you a great day and a fantastic year ahead,Ham
Increase your stamina and performance tonight! Special discount.,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
"Hey Sarah, are we still on for lunch Friday at the usual spot?",Ham
Notes from the Q3 budget meeting have been uploaded,Ham
Your flight reservation to New York for Monday is confirmed.,Ham
Increase your stamina and performance tonight! Special discount.,Spam
"Earn $1,000,000 a day working from home doing absolutely nothing!",Spam
Receipt for your recent Uber ride on Wednesday,Ham
Update on the design feedback schedule for Q3,Ham
Monthly marketing report attached for your review and approval,Ham
Invitation: Product Launch Event next this weekend at the main hall,Ham
"Mike called, they want you to call back as soon as possible",Ham
Are you free Wednesday for a quick coffee and catch up?,Ham
Can we push the deadline for the marketing report to next Thursday?,Ham
Lose 10kg in just one week with this magic pill! Doctor approved!,Spam
Claim your inherited 50 Bitcoin from a distant relative in Africa,Spam
Notes from the Q3 budget meeting have been uploaded,Ham
Attached is the invoice for the sales strategy consulting services.,Ham
Notes from the marketing report meeting have been uploaded,Ham
Happy Birthday your boss! Wishing you a great day and a fantastic year ahead,Ham
Security Alert: Please verify your Apple credentials immediately,Spam
"Hey Emma, are we still on for lunch Friday at the usual spot?",Ham
LIMITED TIME OFFER: 90% off all MacBook Pros! Buy now!,Spam
You are the 1000th visitor! Click here to claim your MacBook Pro.,Spam
Monthly design feedback attached for your review and approval,Ham
Get rich quick with this secret crypto investment strategy,Spam
Draft contract for the new vendor is attached. Please review by Wednesday.,Ham
Final notice: Pay your tax debt of $100 immediately to avoid jail time,Spam
Meeting agenda for Thursday's team sync regarding sales strategy,Ham
LIMITED TIME OFFER: 90% off all Teslas! Buy now!,Spam
"Claim your $100 Apple Gift Card now, click the link below",Spam
You are the 1000th visitor! Click here to claim your Tesla.,Spam
Buy cheap followers and likes for your Instagram and TikTok,Spam
Receipt for your recent Uber ride on Monday,Ham
Invitation: Product Launch Event next Tuesday at the main hall,Ham
"Let's reschedule our call to 3 PM Thursday, I have a conflict right now",Ham
"I will be out of office until Tuesday. For urgent matters, contact Emma.",Ham
Don't forget to submit your weekly timesheet by Monday 5 PM,Ham
"Let's reschedule our call to 3 PM this weekend, I have a conflict right now",Ham
"Claim your inherited $50,000 from a distant relative in Africa",Spam
You are the 1000th visitor! Click here to claim your MacBook Pro.,Spam
Draft contract for the new vendor is attached. Please review by Tuesday.,Ham
"I will be out of office until Monday. For urgent matters, contact John.",Ham
"Let's reschedule our call to 3 PM this weekend, I have a conflict right now",Ham
Invitation: Product Launch Event next Wednesday at the main hall,Ham
Your PayPal invoice #98765 is overdue. Pay $100 immediately to avoid fees.,Spam
Thanks for the great presentation today on software update! The clients loved it.,Ham
